timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741616258555,259,Get Contacts,200,OK,Stress Test 1-259,text,true,,1012,525,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts,259,0,0
1741616258676,265,Delete Contact,200,OK,Stress Test 1-260,text,true,,756,603,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48632eaf700137a5098,265,0,0
1741616257940,1086,Add User,201,Created,Stress Test 1-261,text,true,,1278,336,3,3,https://thinking-tester-contact-list.herokuapp.com/users,1086,0,801
1741616258814,266,Update Contact,200,OK,Stress Test 1-259,text,true,,1042,843,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48653c0aa001392fd0c,266,0,0
1741616258943,290,Add User,201,Created,Stress Test 1-260,text,true,,1278,501,3,3,https://thinking-tester-contact-list.herokuapp.com/users,290,0,0
1741616259027,251,Get User Profile,200,OK,Stress Test 1-261,text,true,,874,525,3,3,https://thinking-tester-contact-list.herokuapp.com/users/me,251,0,0
1741616259081,266,Patch Contact,200,OK,Stress Test 1-259,text,true,,1012,602,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48653c0aa001392fd0c,266,0,0
1741616259234,253,Get User Profile,200,OK,Stress Test 1-260,text,true,,874,525,3,3,https://thinking-tester-contact-list.herokuapp.com/users/me,253,0,0
1741616259287,256,Update User,200,OK,Stress Test 1-261,text,true,,884,635,3,3,https://thinking-tester-contact-list.herokuapp.com/users/me,256,0,0
1741616259348,266,Delete Contact,200,OK,Stress Test 1-259,text,true,,756,603,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48653c0aa001392fd0c,266,0,0
1741616259488,258,Update User,200,OK,Stress Test 1-260,text,true,,877,632,2,2,https://thinking-tester-contact-list.herokuapp.com/users/me,258,0,0
1741616259543,257,Add Contact,201,Created,Stress Test 1-261,text,true,,1004,813,2,2,https://thinking-tester-contact-list.herokuapp.com/contacts,257,0,0
1741616259746,262,Add Contact,201,Created,Stress Test 1-260,text,true,,1003,809,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts,262,0,0
1741616259799,251,Get Contacts,200,OK,Stress Test 1-261,text,true,,1001,525,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts,251,0,0
1741616260007,255,Get Contacts,200,OK,Stress Test 1-260,text,true,,1000,525,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts,255,0,0
1741616260051,385,Update Contact,200,OK,Stress Test 1-261,text,true,,1030,837,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48832eaf700137a509b,385,0,0
1741616260263,377,Update Contact,200,OK,Stress Test 1-260,text,true,,1032,836,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48832eaf700137a509c,377,0,0
1741616260436,306,Patch Contact,200,OK,Stress Test 1-261,text,true,,1003,602,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48832eaf700137a509b,306,0,0
1741616260641,409,Patch Contact,200,OK,Stress Test 1-260,text,true,,1005,602,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48832eaf700137a509c,409,0,0
1741616260743,308,Delete Contact,200,OK,Stress Test 1-261,text,true,,756,603,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48832eaf700137a509b,308,0,0
